domains,dest_ip
academic.ru,95.216.247.80
ckk.ai,172.67.134.151
imgprime.com,104.27.166.106
denofgeek.com,192.0.66.88
handy-tab.com,89.39.104.171
businessinsider.com,151.101.65.171
angular.io,151.101.1.195
insider.com,151.101.194.217
splice.com,104.17.165.41
moonbitcoin.cash,104.28.21.89
chess.com,198.8.89.138
r-project.org,137.208.57.37
zenmate.com,104.19.155.33
jugem.jp,163.44.191.95
dolohen.com,139.45.195.41
worldofsolitaire.com,184.95.52.107
fossbytes.com,104.27.128.96
bayt.com,209.251.59.181
popularmechanics.com,151.101.192.155
etoro.com,23.9.22.6
poki.com,104.16.208.71
totalsportek.com,104.31.86.222
one.com,195.47.247.8
kprofiles.com,104.27.132.58
sci-hub.tw,186.2.163.90
binomo.com,104.16.118.93
goat.com,104.22.76.166
championat.com,81.19.86.3
todocoleccion.net,104.20.2.51
futurism.com,76.76.21.21
mega.co.nz,31.216.147.130
movieweb.com,104.18.12.167
livecareer.com,104.109.84.214
waploaded.com,104.26.10.239
windowscentral.com,104.18.188.55
nhl.com,8.20.73.150
newtab.club,5.63.154.38
a2hosting.com,104.18.131.225
thebalance.com,151.101.194.137
t-mobile.com,45.60.11.176
imore.com,104.18.14.41
mailerlite.com,104.18.3.159
robotcaptcha.info,5.8.34.183
amadeus.com,107.154.251.68
livemaster.ru,89.108.109.102
pximg.net,210.140.92.141
deezer.com,78.40.123.183
tengrinews.kz,89.218.2.188
github.com,140.82.113.4
feedly.com,104.20.59.241
cyberlink.com,99.83.161.79
pirateproxy.live,104.18.44.219
romsmania.cc,172.67.207.6
nypost.com,192.0.66.32
rbc.com,204.74.99.100
cut-urls.com,172.67.177.12
yandex.by,77.88.55.55
tripadvisor.co.uk,192.229.162.112
waveapps.com,104.16.100.12
stremanp.com,139.45.196.73
samsclub.com,161.170.244.214
filefactory.com,95.211.200.52
patch.com,151.101.129.177
paradoxwikis.com,151.101.66.217
23andme.com,104.16.51.212
getbootstrap.com,172.67.30.148
ibpsguide.com,104.27.152.130
zedge.net,104.17.94.209
netsuite.com,167.216.129.12
ccleaner.com,151.101.194.202
techjunkie.com,172.67.68.78
eveonline.com,104.18.11.107
fontke.com,117.27.136.118
pinterest.ca,151.101.128.84
53.com,23.46.170.210
totaljerkface.com,23.92.23.97
twinfinite.net,104.26.2.2
fbdown.net,104.28.7.161
fragrantica.com,104.17.2.6
theguardian.com,151.101.65.111
cointelegraph.com,104.20.39.71
hdmovieshub.net,172.67.166.193
iz.ru,185.165.123.185
whosampled.com,173.192.193.226
nodejs.org,104.20.23.46
adafruit.com,104.20.39.240
t.co,104.244.42.133
ocn.ne.jp,219.164.251.192
userscloud.com,188.213.242.147
bc.vc,104.27.147.178
elibrary.ru,194.85.223.54
usaa.com,104.121.244.222
planetminecraft.com,104.22.0.111
flightradar24.com,104.17.46.52
wsmmirror.info,172.67.141.125
shareasale-analytics.com,104.18.67.79
metro.co.uk,192.0.66.24
hostinger.com,104.20.160.69
wizards.com,69.8.198.251
cookpad.com,151.101.194.2
tinyurl.com,104.20.139.65
unimelb.edu.au,43.245.43.59
nyu.edu,216.165.47.10
tableau.com,23.185.0.2
globalnews.ca,192.0.66.184
mangatown.com,104.31.13.180
igg-games.com,172.64.101.12
adguard.com,104.20.31.130
as.com,199.232.194.133
czilladx.com,69.164.223.139
utdallas.edu,104.16.43.54
compressjpeg.com,51.159.16.4
thetrainline.com,23.199.146.33
ebook3000.com,185.39.10.97
link.tl,104.28.23.206
dramakoreaindo.com,104.26.1.26
