domains,dest_ip
businessinsider.com,151.101.65.171
angular.io,151.101.1.195
insider.com,151.101.194.217
splice.com,104.17.165.41
zenmate.com,104.19.155.33
popularmechanics.com,151.101.192.155
poki.com,104.16.208.71
one.com,195.47.247.8
sci-hub.tw,186.2.163.90
binomo.com,104.16.118.93
lanacion.com.ar,190.220.57.135
championat.com,81.19.86.3
livecareer.com,104.109.84.214
naver.com,125.209.222.141
windowscentral.com,104.18.188.55
dji.com,13.35.183.58
newtab.club,5.63.154.38
a2hosting.com,104.18.131.225
gmu.edu,129.174.1.59
thebalance.com,151.101.194.137
unacademy.com,52.76.61.123
t-mobile.com,45.60.11.176
flvto.biz,94.237.57.11
letras.com,177.54.157.200
livemaster.ru,89.108.109.102
naukrigulf.com,54.251.99.37
panopto.com,54.183.52.254
paisabazaar.com,13.71.27.154
cyberleninka.ru,94.130.219.154
github.com,140.82.113.4
atptour.com,216.134.208.25
sueddeutsche.de,195.50.177.61
telegraph.co.uk,13.224.66.37
hostgator.com,3.1.243.221
jianshu.com,107.150.101.156
waveapps.com,104.16.100.12
patch.com,151.101.129.177
okta.com,18.204.109.174
paradoxwikis.com,151.101.66.217
funnyjunk.com,149.56.126.48
atv.com.tr,185.95.164.88
bluestacks.com,13.35.183.89
zedge.net,104.17.94.209
emol.com,200.12.20.60
ganji.com,154.8.241.69
ccleaner.com,151.101.194.202
pscp.tv,35.154.204.153
fontke.com,117.27.136.118
pinterest.ca,151.101.128.84
money.pl,212.77.101.20
gmanetwork.com,13.251.82.77
totaljerkface.com,23.92.23.97
theweathernetwork.com,40.114.106.174
mapsofindia.com,15.206.140.100
wsws.org,5.135.200.4
theguardian.com,151.101.65.111
jd.com,118.193.98.63
tp-link.com,13.35.183.40
edureka.co,13.35.183.16
t.co,104.244.42.133
tvtime.com,13.35.183.35
userscloud.com,188.213.242.147
startpage.com,89.146.4.148
virtualworldsland.com,107.20.236.24
giph-it.com,40.74.245.188
usaa.com,104.121.244.222
vectorstock.com,52.73.138.78
flightradar24.com,104.17.46.52
dartmouth.edu,129.170.171.44
shareasale-analytics.com,104.18.67.79
skribbl.io,193.70.6.186
windows.net,40.113.200.201
washington.edu,128.95.155.197
yasdl.com,79.127.127.29
theage.com.au,13.35.183.78
faz.net,40.118.6.229
bitrix24.com,18.232.195.40
soundcloud.com,13.35.171.37
cookpad.com,151.101.194.2
nyu.edu,216.165.47.10
ilpost.it,13.35.183.84
tableau.com,23.185.0.2
monday.com,13.35.20.39
domestika.org,13.35.183.110
live.com,204.79.197.212
dailystar.co.uk,34.243.71.240
as.com,199.232.194.133
teamtreehouse.com,18.211.40.93
czilladx.com,69.164.223.139
slideplayer.com,88.99.70.210
cutestat.com,103.111.79.79
ups.com,153.2.228.50
mango.com,13.35.183.19
thetrainline.com,23.199.146.33
clegc-gckey.gc.ca,72.142.24.195
thinkific.com,35.196.247.55
miniclip.com,13.35.183.118
houzz.com,151.101.192.93
goodreads.com,54.239.26.220
cnki.net,103.227.81.121
wego.com,104.18.241.115
scotiabank.com,23.8.190.172
barnesandnoble.com,161.221.74.213
westernunion.com,66.218.161.27
uwo.ca,129.100.0.79
amadeus.net,45.60.124.29
pantip.com,139.99.68.204
coomeet.com,104.16.172.17
serverfault.com,151.101.193.69
deadspin.com,151.101.130.166
quizizz.com,13.35.183.27
jeuxvideo.com,185.12.49.12
sky.com,90.216.128.5
ibb.co,51.81.57.189
seatgeek.com,151.101.66.133
ebay.fr,66.135.195.175
producthunt.com,104.18.231.83
video-browse.com,52.165.135.234
npmjs.com,104.16.92.83
calameo.com,85.233.202.179
pathofexile.com,104.19.185.16
intel.cn,13.91.95.74
filepuma.com,54.225.175.129
atlassian.com,18.136.214.23
ebay.de,66.135.196.249
manchester.ac.uk,130.88.101.59
about.com,151.101.66.137
amazon.com.mx,54.239.18.174
fastcompany.com,151.101.193.54
uod2quk646.com,192.243.59.12
systemrequirementslab.com,3.212.215.225
lifehacker.com,151.101.2.166
rte.ie,104.18.162.29
wixmp.com,23.236.62.147
mcdonalds.com,52.6.111.61
gofundme.com,52.6.73.22
xero.com,13.35.183.97
tasty.co,151.101.2.114
cardinalcommerce.com,23.21.228.154
time.com,13.35.20.107
reclameaqui.com.br,107.154.102.99
duden.de,3.123.97.17
postermywall.com,54.144.83.42
hardreset.info,5.196.55.229
icims.com,52.207.139.125
coreldraw.com,54.144.14.206
thestartmagazine.com,151.101.10.217
techsmith.com,45.60.122.187
csdn.net,47.95.164.112
office.com,13.107.6.156
tmall.com,140.205.130.99
gutefrage.net,3.122.88.25
act.org,13.35.183.25
cracked.com,13.224.66.76
hbr.org,13.35.183.14
yota.ru,94.25.232.249
thriftbooks.com,151.101.2.7
greenhouse.io,13.35.183.57
dailymotion.com,195.8.215.136
trustnav.com,159.89.243.204
y8.com,159.203.184.51
familysearch.org,52.22.194.220
vultr.com,108.61.13.174
youzan.com,140.143.255.218
givemesport.com,13.224.66.48
newyorker.com,151.101.64.239
rtings.com,13.35.183.81
commbank.com.au,13.35.183.32
clevernt.com,148.69.64.76
livedoor.jp,203.104.153.16
unsw.edu.au,202.58.60.194
2conv.com,94.237.53.171
www.gov.uk,151.101.8.144
bethesda.net,13.35.183.100
pearsoned.com,54.209.16.180
umd.edu,99.84.178.38
stackoverflow.com,151.101.129.69
chip.de,23.15.33.218
naver.jp,119.235.235.13
ufl.edu,128.227.9.98
mytheresa.com,3.123.224.110
eurogamer.net,63.35.17.160
sparkfun.com,54.88.232.23
gfycat.com,13.35.173.221
theonion.com,151.101.66.166
biography.com,151.101.66.98
onlinesoccermanager.com,104.16.89.146
lifewire.com,151.101.2.137
techpowerup.com,168.235.67.115
turnitin.com,151.101.1.154
washingtonpost.com,184.30.212.196
hypebeast.com,151.101.129.181
sportschau.de,149.219.201.59
mayoclinic.org,129.176.1.88
giphy.com,151.101.129.185
vedantu.com,13.35.183.55
wikibuy.com,104.17.148.7
bancobrasil.com.br,170.66.11.10
macworld.co.uk,104.18.126.77
joann.com,18.140.242.149
wikihow.com,151.101.194.110
clickfunnels.com,104.16.14.194
programiz.com,165.227.223.234
wunderlist.com,176.34.107.91
tistory.com,211.231.108.151
eventbrite.com,18.235.224.167
codecanyon.net,104.18.25.174
metacritic.com,151.101.193.188
rentcafe.com,104.19.173.21
duke.edu,152.3.72.197
kakao.com,211.249.221.27
espn.com,13.35.183.22
fedex.com,204.135.8.175
root.com,91.189.88.181
hse.ru,186.2.163.228
tasteofhome.com,40.117.154.240
arduino.cc,100.24.172.113
streamable.com,151.101.1.63
tinkercad.com,107.23.149.50
cricbuzz.com,35.200.167.142
cottonon.com,104.16.186.233
prepscholar.com,34.197.172.53
bankrate.com,151.101.129.132
adskeeper.co.uk,104.19.133.80
focus.de,23.15.33.200
rambler.ru,81.19.82.98
bom.gov.au,134.178.253.144
java.com,23.57.224.212
rutgers.edu,128.6.46.111
digitalspy.com,151.101.128.200
zoopla.co.uk,34.247.148.60
digisport.ro,81.196.8.182
odnoklassniki.ru,217.20.147.1
ilgiornale.it,52.17.26.74
coursera.org,13.35.183.94
supercoloring.com,128.199.46.144
bitbucket.org,18.205.93.1
dezeen.com,107.154.115.173
centurylink.com,155.70.44.25
formstack.com,13.224.66.21
strawpoll.me,151.101.64.194
99designs.com,34.196.252.163
moovitapp.com,13.35.183.53
airbnb.com,3.224.3.59
sparknotes.com,161.221.90.200
nipic.com,122.226.73.53
getvideo.org,144.76.25.173
stackexchange.com,151.101.65.69
curbed.com,151.101.1.52
toppr.com,52.219.62.118
line.me,203.104.138.138
iflscience.com,34.243.168.176
sherdog.com,104.17.99.66
djangoproject.com,151.101.2.217
hooch.net,159.65.216.232
foodnetwork.com,204.78.50.45
eventbrite.co.uk,52.22.172.91
kitco.com,40.117.188.126
adventurefeeds.com,107.154.147.171
theconversation.com,151.101.130.133
oneplus.com,34.225.248.108
dt2xr6g2i5.com,192.243.59.20
rhymezone.com,107.22.210.87
sjsu.edu,130.65.255.101
lichess.org,37.187.205.99
eset.com,91.228.166.47
nme.com,13.35.183.112
speedtest.net,151.101.66.219
01net.com,52.48.101.234
revcontent.com,3.223.138.242
dotesports.com,104.248.48.89
voanews.com,23.212.99.145
lyft.com,13.35.169.64
kensaq.com,151.101.10.114
bmj.com,13.35.183.4
fubo.tv,151.101.192.230
sportingbet.com,195.72.135.96
howstuffworks.com,13.35.183.31
spanishdict.com,18.204.99.116
superbuy.com,47.88.66.192
hku.hk,147.8.2.58
prettylittlething.com,23.33.244.47
republika.co.id,54.179.174.200
videoblocks.com,13.35.183.123
beatstars.com,3.210.137.66
aftership.com,104.17.140.107
agar.io,104.17.153.222
versus.com,64.237.58.60
sportskeeda.com,52.77.21.98
twitch.tv,151.101.130.167
manychat.com,18.185.191.84
avira.com,52.58.28.12
lonelyplanet.com,54.156.236.159
br.de,194.187.162.188
nih.gov,54.235.145.223
info.com,3.228.90.217
pearsoncmg.com,206.31.248.91
pcworld.com,151.101.2.165
gomlab.com,18.210.165.84
hao123.com,202.106.2.86
lloydsbank.co.uk,51.141.44.139
wowhead.com,104.18.31.49
gala.fr,54.93.78.41
yahoo.co.jp,183.79.135.206
stylecraze.com,13.35.183.67
t-nation.com,192.207.255.238
thecrazytourist.com,104.197.69.102
bigcartel.com,151.101.193.211
nicehash.com,104.17.254.46
kaspi.kz,194.187.245.10
